Image Number,Gate,Start/Restar the game,The joy of the players,yellow card,Red Card,Ball,Stadium View,referee Image,Penalty Image,Free Kick,Generic Moment
24908,0,0,0,0,0,0,1,0,0,0,0
24909,0,0,0,0,0,0,1,0,0,0,0
24916,1,0,0,0,0,0,1,0,0,0,0
24922,0,1,0,0,0,1,0,0,0,0,0
24923,0,1,0,0,0,1,0,0,0,0,0
24924,1,1,0,0,0,1,0,1,0,0,0
24925,1,1,0,0,0,1,0,1,0,0,0
24929,0,0,0,0,0,1,1,1,0,0,0
24990,1,0,0,0,0,1,0,1,0,1,0
24996,0,0,0,0,0,1,0,0,0,1,0
25000,1,0,0,0,0,1,0,0,0,1,0
25001,1,0,0,0,0,1,0,0,0,1,0
25002,1,0,0,0,0,1,0,0,0,1,0
25004,1,0,0,0,0,1,0,0,0,1,0
25007,1,0,0,0,0,1,0,1,0,1,0
25008,1,0,0,0,0,1,0,1,0,1,0
25201,1,0,0,0,0,0,1,0,0,0,0
25202,1,0,0,0,0,0,1,0,0,0,0
25204,1,0,0,0,0,0,1,0,0,0,0
25205,1,0,0,0,0,0,1,0,0,0,0
25206,1,0,0,0,0,0,1,0,0,0,0
25207,1,0,0,0,0,0,1,0,0,0,0
25208,1,0,0,0,0,0,1,0,0,0,0
25214,0,0,0,0,0,1,0,0,0,1,0
25246,1,0,0,0,0,0,1,0,0,0,0
25248,1,0,0,0,0,1,0,0,0,1,0
25324,0,0,0,0,0,0,1,0,0,0,0
25417,1,0,0,0,0,0,0,0,0,1,0
25418,1,0,0,0,0,1,0,1,0,1,0
25419,1,0,0,0,0,1,0,1,0,1,0
25420,1,0,0,0,0,1,0,0,0,1,0
25421,1,0,0,0,0,1,0,0,0,1,0
25422,1,0,0,0,0,1,0,0,0,1,0
25424,1,0,0,0,0,1,0,1,0,1,0
25425,1,0,0,0,0,1,0,1,0,1,0
25432,1,0,0,0,0,1,0,0,0,1,0
25433,1,0,0,0,0,1,0,1,0,1,0
25434,1,0,0,0,0,1,0,1,0,1,0
25441,1,0,0,0,0,1,0,1,0,1,0
25442,1,0,0,0,0,0,0,1,0,1,0
25448,1,0,0,0,0,0,1,0,0,0,0
25475,1,0,0,0,0,1,1,0,0,0,0
25484,0,0,0,0,0,0,1,0,0,0,0
25490,0,0,0,0,0,1,1,0,0,0,0
25491,0,0,0,0,0,0,1,0,0,0,0
25492,0,0,0,0,0,1,1,0,0,0,0
25493,0,0,0,0,0,1,1,0,0,0,0
25549,0,0,1,0,0,0,0,0,0,0,0
25560,0,0,1,0,0,0,0,0,0,0,0
25606,0,0,0,0,0,0,1,0,0,0,0
25607,0,0,0,0,0,0,1,0,0,0,0
25608,1,0,0,0,0,1,1,0,0,0,0
25642,1,0,0,0,0,1,0,0,0,1,0
25645,1,0,0,0,0,1,0,0,0,1,0
25671,0,0,1,0,0,0,0,0,0,0,0
25683,0,0,1,0,0,0,0,0,0,0,0
25694,0,0,1,0,0,0,0,0,0,0,0
25703,1,0,0,0,0,0,0,0,0,1,0
25705,0,0,1,0,0,0,0,0,0,0,0
25715,1,0,0,0,0,1,0,1,0,1,0
25717,1,0,0,0,0,1,0,1,0,1,0
25718,1,0,0,0,0,1,0,0,0,1,0
25719,1,0,0,0,0,1,0,1,0,1,0
25720,1,0,0,0,0,1,0,1,0,1,0
25721,1,0,0,0,0,1,0,1,0,1,0
25760,0,0,1,0,0,0,0,0,0,0,0
25771,0,0,1,0,0,0,0,0,0,0,0
25782,0,0,1,0,0,0,0,0,0,0,0
25794,0,0,1,0,0,0,0,0,0,0,0
25805,0,0,1,0,0,0,0,0,0,0,0
25816,0,0,1,0,0,0,0,0,0,0,0
25834,0,0,0,0,0,1,1,1,0,0,0
25842,0,0,0,0,0,1,1,1,0,0,0
25849,1,0,1,0,0,0,0,0,0,0,0
25852,0,0,0,0,0,0,1,0,0,0,0
25853,0,0,0,0,0,0,1,0,0,0,0
25860,1,0,1,0,0,0,0,0,0,0,0
25879,0,0,0,0,0,0,1,0,0,0,0
25880,0,0,0,0,0,0,1,0,0,0,0
25887,1,0,0,0,0,1,0,1,0,1,0
25888,1,0,0,0,0,1,0,1,0,1,0
25889,1,0,0,0,0,1,0,1,0,1,0
25890,1,0,0,0,0,1,0,1,0,1,0
25891,1,0,0,0,0,1,0,1,0,1,0
25892,1,0,0,0,0,1,0,1,0,1,0
26016,1,0,1,0,0,0,0,0,0,0,0
26027,0,0,1,0,0,0,0,0,0,0,0
26038,0,0,1,0,0,0,0,0,0,0,0
26043,1,0,0,0,0,0,1,0,0,0,0
26044,1,0,0,0,0,1,1,0,0,0,0
26045,1,0,0,0,0,0,1,0,0,0,0
26046,0,0,0,0,0,0,1,0,0,0,0
26072,1,0,0,0,0,1,0,1,0,1,0
26073,1,0,0,0,0,1,0,1,0,1,0
26102,1,0,0,0,0,1,0,0,0,1,0
26106,1,0,0,0,0,1,0,0,0,1,0
26107,1,0,0,0,0,1,0,0,0,1,0
26116,1,0,0,0,0,1,0,0,0,1,0
26126,0,0,1,0,0,0,0,0,0,0,0
26137,1,0,0,0,0,0,1,0,0,0,0
26139,1,0,0,0,0,1,1,0,0,0,0
26141,1,0,0,0,0,1,1,0,0,0,0
26142,1,0,0,0,0,0,1,0,0,0,0
26180,1,0,0,0,0,1,0,1,0,1,0
26181,1,0,0,0,0,1,0,1,0,1,0
26194,1,0,0,0,0,1,0,0,0,1,0
26195,1,0,0,0,0,1,0,0,0,1,0
26198,1,0,0,0,0,1,0,1,0,1,0
26199,1,0,0,0,0,1,0,1,0,1,0
26200,1,0,0,0,0,1,0,1,0,1,0
26204,0,0,1,0,0,0,0,0,0,0,0
26205,1,0,0,0,0,1,1,0,0,0,0
26215,0,0,1,0,0,0,0,0,0,0,0
26226,0,0,1,0,0,0,0,0,0,0,0
26237,0,0,1,0,0,0,0,0,0,0,0
26278,0,0,0,0,0,0,1,0,0,0,0
26279,0,0,0,0,0,0,1,0,0,0,0
26284,0,0,0,1,0,0,0,1,0,0,0
26285,0,0,0,1,0,0,0,1,0,0,0
26348,0,0,1,0,0,0,0,0,0,0,0
26383,1,0,0,0,0,0,1,0,0,0,0
26384,1,0,0,0,0,0,1,0,0,0,0
26385,1,0,0,0,0,0,1,0,0,0,0
26386,1,0,0,0,0,0,1,0,0,0,0
26387,1,0,0,0,0,0,1,0,0,0,0
26388,1,0,0,0,0,0,1,0,0,0,0
26390,1,0,0,0,0,0,1,0,0,0,0
26425,0,0,0,0,0,1,1,0,0,0,0
26427,0,0,0,0,0,1,1,0,0,0,0
26428,0,0,0,0,0,1,1,0,0,0,0
26429,0,0,0,0,0,1,1,0,0,0,0
26430,1,0,0,0,0,0,1,0,0,0,0
26457,1,0,0,0,0,0,0,0,0,1,0
26458,1,0,0,0,0,0,0,1,0,1,0
26460,0,0,1,0,0,0,0,0,0,0,0
26462,1,0,0,0,0,0,0,0,0,1,0
26463,1,0,0,0,0,1,0,0,0,1,0
26464,1,0,0,0,0,0,0,1,0,1,0
26468,1,0,0,0,0,1,0,0,0,1,0
26469,1,0,0,0,0,1,0,0,0,1,0
26476,1,0,0,0,0,0,0,1,0,1,0
26525,1,0,0,0,0,0,1,0,0,0,0
26526,1,0,0,0,0,0,1,0,0,0,0
26559,1,0,0,0,0,1,0,1,0,1,0
26578,0,0,0,0,0,0,1,0,0,0,0
26601,0,0,0,0,0,0,1,0,0,0,0
26620,0,0,0,0,0,0,1,0,0,0,0
26621,0,0,0,0,0,0,1,0,0,0,0
26622,1,0,0,0,0,0,1,0,0,0,0
26660,0,0,0,0,0,0,1,0,0,0,0
26671,0,0,0,0,0,0,1,0,0,0,0
26691,0,0,1,0,0,0,0,0,0,0,0
26692,0,0,1,0,0,0,0,0,0,0,0
26693,0,0,1,0,0,0,0,0,0,0,0
26695,0,0,1,0,0,0,0,0,0,0,0
26696,0,0,1,0,0,0,0,0,0,0,0
26697,0,0,1,0,0,0,0,0,0,0,0
26708,0,0,1,0,0,0,0,0,0,0,0
26710,1,0,0,0,0,0,1,0,0,0,0
26711,1,0,0,0,0,1,1,0,0,0,0
26712,0,0,0,0,0,1,1,1,0,0,0
26713,1,0,0,0,0,0,1,0,0,0,0
26716,0,0,0,0,0,0,1,0,0,0,0
26721,0,0,1,0,0,0,0,0,0,0,0
26722,0,0,1,0,0,0,0,0,0,0,0
26723,0,0,1,0,0,0,0,0,0,0,0
26724,0,0,1,0,0,0,0,0,0,0,0
26725,0,0,1,0,0,0,0,0,0,0,0
26727,0,0,0,0,0,0,1,0,0,0,0
26738,0,0,0,0,0,0,1,0,0,0,0
26749,0,0,0,0,0,0,1,0,0,0,0
26760,0,0,0,0,0,0,1,0,0,0,0
26771,0,0,0,0,0,0,1,0,0,0,0
26782,0,0,0,0,0,0,1,0,0,0,0
26791,0,0,1,0,0,0,0,0,0,0,0
26792,0,0,1,0,0,0,0,0,0,0,0
26794,0,0,0,0,0,0,1,0,0,0,0
26805,0,0,0,0,0,0,1,0,0,0,0
26873,0,0,1,0,0,0,0,0,0,0,0
26874,0,0,1,0,0,0,0,0,0,0,0
26875,0,0,1,0,0,0,0,0,0,0,0
26881,1,0,0,0,0,1,1,0,0,0,0
26883,0,0,0,0,0,0,1,0,0,0,0
26884,0,0,0,0,0,0,1,0,0,0,0
26885,0,0,0,0,0,1,1,1,0,0,0
26886,0,0,0,0,0,1,1,1,0,0,0
26904,0,0,1,0,0,0,0,0,0,0,0
26997,1,0,0,0,0,0,1,0,0,0,0
26998,1,0,0,0,0,1,1,0,0,0,0
27063,1,0,0,0,0,0,0,0,0,1,0
27064,1,0,0,0,0,0,0,0,0,1,0
27065,1,0,0,0,0,0,0,1,0,1,0
27066,1,0,0,0,0,0,0,1,0,1,0
27067,1,0,0,0,0,0,0,1,0,1,0
27073,1,0,0,0,0,1,0,1,0,1,0
27074,1,0,0,0,0,1,0,1,0,1,0
27078,1,0,0,0,0,1,0,1,0,1,0
27079,1,0,0,0,0,1,0,1,0,1,0
27080,1,0,0,0,0,1,0,1,0,1,0
27081,1,0,0,0,0,1,0,1,0,1,0
27083,1,0,0,0,0,1,0,1,0,1,0
27092,0,0,0,1,0,0,0,1,0,0,0
27101,0,0,0,1,0,0,0,1,0,0,0
27112,1,0,0,0,0,1,0,1,0,1,0
27120,1,0,0,0,0,1,0,1,0,1,0
27121,1,0,0,0,0,1,0,1,0,1,0
27271,0,0,0,0,0,0,1,0,0,0,0
27282,0,0,0,0,0,0,1,0,0,0,0
27293,0,0,0,0,0,0,1,0,0,0,0
27304,0,0,0,0,0,0,1,0,0,0,0
27315,1,0,0,0,0,0,1,0,0,0,0
27326,1,0,0,0,0,0,1,0,0,0,0
27397,0,0,0,0,0,1,1,0,0,0,0
27398,0,0,0,0,0,1,1,1,0,0,0
27399,0,0,0,0,0,1,1,1,0,0,0
27400,0,0,0,0,0,0,1,0,0,0,0
27419,1,0,0,0,0,0,1,0,0,0,0
27481,1,0,0,0,0,0,0,1,0,1,0
27483,1,0,0,0,0,0,0,1,0,1,0
27484,1,0,0,0,0,1,0,1,0,1,0
27485,1,0,0,0,0,1,0,1,0,1,0
27486,1,0,0,0,0,1,0,1,0,1,0
27487,1,0,0,0,0,1,0,1,0,1,0
27541,0,0,0,0,0,0,1,0,0,0,0
27542,0,0,0,0,0,1,1,0,0,0,0
27649,0,0,0,0,0,0,1,0,0,0,0
27660,0,0,0,0,0,0,1,0,0,0,0
27760,0,0,0,0,0,0,1,0,0,0,0
27790,0,0,1,0,0,0,0,0,0,0,0
27795,0,0,1,0,0,0,0,0,0,0,0
27803,1,0,0,0,0,1,1,1,0,0,0
27804,1,0,0,0,0,1,1,1,0,0,0
27806,1,0,0,0,0,0,1,1,0,0,0
27807,1,0,0,0,0,1,1,1,0,0,0
27809,1,0,0,0,0,1,1,1,0,0,0
27811,1,0,0,0,0,1,1,1,0,0,0
27812,1,0,0,0,0,1,1,0,0,0,0
27879,0,0,1,0,0,0,0,0,0,0,0
27880,0,0,1,0,0,0,0,0,0,0,0
27884,0,0,1,0,0,0,0,0,0,0,0
27887,0,0,1,0,0,0,0,0,0,0,0
27888,0,0,1,0,0,0,0,0,0,0,0
27889,0,0,1,0,0,0,0,0,0,0,0
27890,0,0,1,0,0,0,0,0,0,0,0
27891,0,0,1,0,0,0,0,0,0,0,0
27906,1,0,0,0,0,0,1,0,0,0,0
27907,1,0,0,0,0,0,1,0,0,0,0
27908,1,0,0,0,0,1,1,0,0,0,0
27914,0,0,1,0,0,0,0,0,0,0,0
27915,0,0,1,0,0,0,0,0,0,0,0
27917,0,0,1,0,0,0,0,0,0,0,0
27918,0,0,1,0,0,0,0,0,0,0,0
27938,0,0,0,0,0,0,1,0,0,0,0
27949,0,0,0,0,0,0,1,0,0,0,0
27975,1,0,0,0,0,1,0,1,0,1,0
27976,1,0,0,0,0,1,0,1,0,1,0
27991,0,0,1,0,0,0,0,0,0,0,0
27992,0,0,1,0,0,0,0,0,0,0,0
27994,0,0,1,0,0,0,0,0,0,0,0
27995,0,0,1,0,0,0,0,0,0,0,0
27996,0,0,1,0,0,0,0,0,0,0,0
27997,0,0,1,0,0,0,0,0,0,0,0
28095,1,0,0,0,0,1,0,1,0,1,0
28096,1,0,0,0,0,1,0,1,0,1,0
28097,1,0,0,0,0,0,0,1,0,1,0
28098,1,0,0,0,0,1,0,1,0,1,0
28104,0,0,0,0,0,0,1,0,0,0,0
28111,1,0,0,0,0,0,0,1,0,1,0
28112,0,0,0,0,0,1,0,0,0,1,0
28126,1,0,0,0,0,1,1,0,0,0,0
28128,1,0,0,0,0,1,0,1,0,1,0
28135,1,0,0,0,0,1,0,1,0,1,0
28136,1,0,0,0,0,1,0,1,0,1,0
28137,1,0,0,0,0,1,0,1,0,1,0
28142,1,0,0,0,0,1,0,1,0,1,0
28143,1,0,0,0,0,1,0,1,0,1,0
28144,1,0,0,0,0,1,0,1,0,1,0
28151,0,0,1,0,0,0,0,0,0,0,0
28154,0,0,1,0,0,0,0,0,0,0,0
28169,0,0,1,0,0,0,0,0,0,0,0
28170,0,0,1,0,0,0,0,0,0,0,0
28176,0,0,1,0,0,0,0,0,0,0,0
28179,0,0,1,0,0,0,0,0,0,0,0
28180,0,0,1,0,0,0,0,0,0,0,0
28181,0,0,1,0,0,0,0,0,0,0,0
28190,0,0,1,0,0,0,0,0,0,0,0
28198,0,0,1,0,0,0,0,0,0,0,0
28199,0,0,1,0,0,0,0,0,0,0,0
28200,0,0,1,0,0,0,0,0,0,0,0
28201,0,0,1,0,0,0,0,0,0,0,0
28202,0,0,1,0,0,0,0,0,0,0,0
28203,0,0,1,0,0,0,0,0,0,0,0
28210,0,0,1,0,0,0,0,0,0,0,0
28211,0,0,1,0,0,0,0,0,0,0,0
28212,0,0,1,0,0,0,0,0,0,0,0
28216,1,1,0,0,0,1,0,0,0,0,0
28217,1,1,0,0,0,1,0,0,0,0,0
28225,0,0,0,0,0,0,1,0,0,0,0
28227,0,0,0,0,0,1,1,0,0,0,0
28282,0,0,0,0,0,0,1,0,0,0,0
28301,1,0,0,0,0,1,1,1,0,0,0
28310,0,0,0,0,0,1,1,0,0,0,0
28378,1,0,0,0,0,1,1,0,0,0,0
28379,1,0,0,0,0,0,1,0,0,0,0
28391,0,0,0,1,0,0,0,1,0,0,0
28392,0,0,0,1,0,0,0,1,0,0,0
28401,0,0,0,1,0,0,0,1,0,0,0
28402,0,0,0,1,0,0,0,1,0,0,0
28403,0,0,0,1,0,0,0,1,0,0,0
28415,0,1,0,0,0,1,0,0,0,0,0
28417,1,0,0,0,0,0,1,0,0,0,0
28418,1,0,0,0,0,0,1,0,0,0,0
28421,1,0,0,0,0,1,0,1,0,1,0
28422,1,0,0,0,0,1,0,1,0,1,0
28423,1,0,0,0,0,1,0,1,0,1,0
28424,1,0,0,0,0,1,0,1,0,1,0
28425,1,0,0,0,0,1,0,1,0,1,0
28426,0,1,0,0,0,1,0,0,0,0,0
28427,1,0,0,0,0,1,0,1,0,1,0
28437,0,1,0,0,0,1,0,1,0,0,0
28442,1,0,0,0,0,1,0,1,0,1,0
28445,1,0,0,0,0,0,1,0,0,0,0
28446,1,0,0,0,0,0,1,0,0,0,0
28448,1,1,0,0,0,1,0,1,0,0,0
28449,0,0,0,0,0,1,1,0,0,0,0
28450,0,0,0,0,0,0,1,0,0,0,0
28451,1,0,0,0,0,1,1,0,0,0,0
28564,1,0,0,0,0,1,0,1,0,1,0
28565,1,0,0,0,0,0,0,1,0,1,0
28573,1,0,0,0,0,1,1,1,0,0,0
28574,1,0,0,0,0,1,1,0,0,0,0
28575,1,0,0,0,0,1,1,0,0,0,0
28576,1,0,0,0,0,1,1,0,0,0,0
28614,1,0,0,0,0,0,1,1,0,0,0
28616,1,0,0,0,0,1,1,1,0,0,0
28617,1,0,0,0,0,1,1,1,0,0,0
28658,1,0,0,0,0,1,1,1,0,0,0
28660,1,0,0,0,0,1,1,1,0,0,0
28673,1,0,0,0,0,1,1,1,0,0,0
28674,0,0,0,0,0,1,1,1,0,0,0
28675,0,0,0,0,0,1,1,1,0,0,0
28676,0,0,0,0,0,1,1,1,0,0,0
28685,1,0,0,0,0,0,1,1,0,0,0
28686,1,0,0,0,0,1,1,0,0,0,0
28688,1,0,0,0,0,0,1,0,0,0,0
28689,1,0,0,0,0,1,1,0,0,0,0
28704,1,0,0,0,0,1,1,0,0,0,0
28706,0,0,0,0,0,1,1,0,0,0,0
28707,0,0,0,0,0,0,1,0,0,0,0
28755,1,0,0,0,0,0,0,1,0,1,0
28756,1,0,0,0,0,0,0,1,0,1,0
28769,1,0,0,0,0,1,0,0,0,1,0
28797,1,0,0,0,0,0,1,1,0,0,0
28798,1,0,0,0,0,0,1,1,0,0,0
28810,1,0,0,0,0,1,1,1,0,0,0
28811,1,0,0,0,0,1,1,1,0,0,0
28830,0,0,0,0,0,1,1,1,0,0,0
28831,0,0,0,0,0,1,1,1,0,0,0
28832,0,0,0,0,0,0,1,1,0,0,0
28837,0,0,0,0,0,0,1,0,0,0,0
28839,1,0,0,0,0,1,1,1,0,0,0
28840,1,0,0,0,0,1,1,1,0,0,0
28841,0,0,0,0,0,1,1,0,0,0,0
28844,1,0,0,0,0,1,1,1,0,0,0
28845,1,0,0,0,0,1,1,1,0,0,0
28846,1,0,0,0,0,1,1,1,0,0,0
28848,1,0,0,0,0,0,1,1,0,0,0
28850,0,0,0,0,0,0,1,0,0,0,0
28890,0,0,0,0,0,1,1,0,0,0,0
28892,0,0,0,0,0,1,1,0,0,0,0
28894,1,0,0,0,0,0,1,0,0,0,0
28895,1,0,0,0,0,0,1,0,0,0,0
28896,0,0,0,0,0,0,1,0,0,0,0
28899,0,0,0,0,0,1,1,0,0,0,0
28900,1,0,0,0,0,1,1,0,0,0,0
28901,1,0,0,0,0,0,1,0,0,0,0
28902,0,0,0,0,0,1,1,0,0,0,0
28977,1,0,0,0,0,0,1,0,0,0,0
28978,1,0,0,0,0,1,1,1,0,0,0
28979,1,0,0,0,0,1,1,0,0,0,0
28980,1,0,0,0,0,1,1,0,0,0,0
28981,1,0,0,0,0,1,1,0,0,0,0
28983,1,0,0,0,0,1,1,0,0,0,0
28984,1,0,0,0,0,1,1,0,0,0,0
28986,1,0,0,0,0,1,1,1,0,0,0
29026,1,0,0,0,0,0,1,0,0,0,0
29028,1,0,0,0,0,1,1,0,0,0,0
29076,1,0,0,0,0,1,0,1,1,0,0
29080,1,0,0,0,0,0,0,1,1,0,0
29081,1,0,0,0,0,0,0,1,1,0,0
29095,1,0,0,0,0,1,0,0,1,0,0
29096,1,0,0,0,0,1,0,0,1,0,0
29097,1,0,0,0,0,1,0,1,1,0,0
29103,0,0,1,0,0,0,0,0,0,0,0
29105,0,0,1,0,0,0,0,0,0,0,0
29106,0,0,1,0,0,0,0,0,0,0,0
29111,0,0,1,0,0,0,0,0,0,0,0
29112,0,0,1,0,0,0,0,0,0,0,0
29113,0,0,1,0,0,0,0,0,0,0,0
29115,1,0,0,0,0,1,0,0,0,1,0
29116,1,0,0,0,0,1,0,0,1,0,0
29117,1,0,0,0,0,1,0,0,1,0,0
29118,1,0,0,0,0,0,0,0,1,0,0
29120,1,0,0,0,0,0,0,0,1,0,0
29127,1,0,0,0,0,1,0,1,0,1,0
29128,0,0,1,0,0,0,0,0,0,0,0
29143,1,0,0,0,0,0,1,0,0,0,0
29144,1,0,0,0,0,0,1,0,0,0,0
29145,1,0,0,0,0,0,1,0,0,0,0
29146,1,0,0,0,0,0,1,0,0,0,0
29175,1,0,0,0,0,1,1,1,0,0,0
29176,1,0,0,0,0,1,1,1,0,0,0
29177,1,0,0,0,0,1,1,1,0,0,0
29189,1,0,0,0,0,1,1,1,0,0,0
29191,1,0,0,0,0,1,1,0,0,0,0
29192,1,0,0,0,0,1,1,0,0,0,0
29204,1,0,0,0,0,0,1,0,0,0,0
29226,0,0,0,0,0,1,1,0,0,0,0
29244,0,0,0,1,0,0,0,1,0,0,0
29253,0,0,0,1,0,0,0,0,0,0,0
29263,1,0,0,0,0,0,1,0,0,0,0
29264,1,0,0,0,0,0,1,0,0,0,0
29265,0,0,0,0,0,0,1,0,0,0,0
29272,0,0,0,0,0,0,1,0,0,0,0
29286,1,0,0,0,0,1,1,0,0,0,0
29295,1,0,0,0,0,0,1,0,0,0,0
29391,1,0,0,0,0,0,0,1,0,1,0
29396,1,0,0,0,0,0,0,1,0,1,0
29397,1,0,0,0,0,0,0,1,0,1,0
29411,0,0,0,1,0,0,0,1,0,0,0
29413,0,0,0,1,0,0,0,0,0,0,0
29414,0,0,0,1,0,0,0,0,0,0,0
29415,1,0,0,0,0,0,1,0,0,0,0
29416,0,0,0,1,0,0,0,0,0,0,0
29440,0,0,0,0,0,0,1,0,0,0,0
29463,1,0,0,0,0,0,1,0,0,0,0
29464,1,0,0,0,0,0,1,0,0,0,0
29465,1,0,0,0,0,0,1,0,0,0,0
29492,1,0,0,0,0,0,1,0,0,0,0
29512,1,0,0,0,0,0,1,0,0,0,0
29513,1,0,0,0,0,0,1,0,0,0,0
29539,1,0,0,0,0,1,0,0,1,0,0
29540,1,0,0,0,0,1,0,0,1,0,0
29541,1,0,0,0,0,1,0,0,1,0,0
29551,0,0,0,0,0,1,1,1,0,0,0
29552,1,0,0,0,0,1,1,1,0,0,0
29553,1,0,0,0,0,1,1,1,0,0,0
29606,1,0,0,0,0,0,1,1,0,0,0
29644,1,0,0,0,0,1,1,0,0,0,0
29652,1,0,0,0,0,0,1,1,0,0,0
29653,1,0,0,0,0,0,1,1,0,0,0
29654,1,0,0,0,0,0,1,0,0,0,0
29655,1,0,0,0,0,1,1,1,0,0,0
29657,1,0,0,0,0,0,1,0,0,0,0
29696,1,0,0,0,0,0,0,0,0,1,0
29721,1,0,0,0,0,0,1,0,0,0,0
29722,0,0,0,0,0,0,1,0,0,0,0
29723,0,0,0,0,0,0,1,0,0,0,0
29749,1,0,0,0,0,0,0,0,0,1,0
29750,1,0,0,0,0,1,0,1,0,1,0
29751,1,0,0,0,0,1,0,1,0,1,0
29755,1,0,0,0,0,1,0,1,0,1,0
29820,1,0,0,0,0,1,1,0,0,0,0
29821,0,0,0,0,0,0,1,0,0,0,0
29822,0,0,0,0,0,1,1,0,0,0,0
29823,0,0,0,0,0,0,1,0,0,0,0
29831,0,1,0,0,0,1,0,0,0,0,0
29832,0,1,0,0,0,1,0,1,0,0,0
29833,0,1,0,0,0,1,0,1,0,0,0
29834,0,1,0,0,0,1,0,1,0,0,0
29835,0,1,0,0,0,1,0,1,0,0,0
29836,0,1,0,0,0,1,0,1,0,0,0
29837,0,1,0,0,0,1,0,1,0,0,0
29839,1,1,0,0,0,1,0,1,0,0,0
29840,1,1,0,0,0,1,0,1,0,0,0
30075,0,0,0,0,0,0,1,0,0,0,0
30299,1,0,0,0,0,1,0,1,0,1,0
30300,1,0,0,0,0,1,0,1,0,1,0
30301,1,0,0,0,0,1,0,1,0,1,0
30305,1,0,0,0,0,1,0,1,0,1,0
30306,1,0,0,0,0,1,0,1,0,1,0
30338,0,0,1,0,0,0,0,0,0,0,0
30339,0,0,1,0,0,0,0,0,0,0,0
30345,0,0,1,0,0,0,0,0,0,0,0
30346,0,0,1,0,0,0,0,0,0,0,0
30351,1,0,0,0,0,0,1,0,0,0,0
30352,0,0,0,0,0,0,1,0,0,0,0
30353,0,0,0,0,0,0,1,0,0,0,0
30383,0,1,0,0,0,0,0,1,0,0,0
30466,0,0,1,0,0,0,0,0,0,0,0
30469,0,0,1,0,0,0,0,0,0,0,0
30472,0,0,1,0,0,0,0,0,0,0,0
30475,0,0,1,0,0,0,0,0,0,0,0
30480,0,0,1,0,0,0,0,0,0,0,0
30503,0,0,1,0,0,0,0,0,0,0,0
30604,1,0,0,0,0,1,1,0,0,0,0
30668,0,0,1,0,0,0,0,0,0,0,0
30669,0,0,1,0,0,0,0,0,0,0,0
30709,1,0,0,0,0,0,1,0,0,0,0
30710,1,0,0,0,0,0,1,0,0,0,0
30711,1,0,0,0,0,0,1,0,0,0,0
30743,0,0,1,0,0,0,0,0,0,0,0
30744,0,0,1,0,0,0,0,0,0,0,0
30750,1,0,0,0,0,1,1,0,0,0,0
30751,0,0,0,0,0,1,1,0,0,0,0
30752,0,0,0,0,0,1,1,0,0,0,0
30857,1,0,0,0,0,1,1,0,0,0,0
30858,1,0,0,0,0,1,1,0,0,0,0
30860,1,0,0,0,0,1,1,0,0,0,0
30861,1,0,0,0,0,0,1,0,0,0,0
30896,1,0,0,0,0,1,1,0,0,0,0
30897,1,0,0,0,0,0,1,0,0,0,0
30898,0,0,0,0,0,1,1,0,0,0,0
30899,1,0,0,0,0,0,1,0,0,0,0
30900,0,0,0,0,0,0,1,0,0,0,0
30953,1,0,0,0,0,0,1,0,0,0,0
30954,1,0,0,0,0,1,1,0,0,0,0
31049,1,0,0,0,0,0,1,0,0,0,0
31119,1,0,0,0,0,1,0,1,0,1,0
31120,1,0,0,0,0,1,0,1,0,1,0
31123,1,0,0,0,0,0,0,1,0,1,0
31124,1,0,0,0,0,0,0,1,0,1,0
31145,1,0,0,0,0,1,0,1,0,1,0
31146,1,0,0,0,0,1,0,1,0,1,0
31147,1,0,0,0,0,1,0,1,0,1,0
31148,1,0,0,0,0,1,0,1,0,1,0
31150,1,0,0,0,0,1,0,1,0,1,0
31151,1,0,0,0,0,1,0,1,0,1,0
31152,1,0,0,0,0,1,0,1,0,1,0
31153,1,0,0,0,0,1,0,1,0,1,0
31316,1,0,0,0,0,0,1,0,0,0,0
31317,1,0,0,0,0,1,1,0,0,0,0
31381,1,0,0,0,0,1,1,0,0,0,0
31427,0,0,0,0,0,1,0,1,0,1,0
31428,0,0,0,0,0,1,0,1,0,1,0
31429,0,0,0,0,0,1,0,1,0,1,0
31463,0,0,1,0,0,0,0,0,0,0,0
31464,0,0,1,0,0,0,0,0,0,0,0
31465,0,0,1,0,0,0,0,0,0,0,0
31481,0,0,1,0,0,0,0,0,0,0,0
31483,0,0,1,0,0,0,0,0,0,0,0
31484,0,0,1,0,0,0,0,0,0,0,0
31485,0,0,1,0,0,0,0,0,0,0,0
31502,0,0,1,0,0,0,0,0,0,0,0
31503,0,0,1,0,0,0,0,0,0,0,0
31537,0,0,0,0,0,1,1,0,0,0,0
31555,1,0,0,0,0,0,0,1,0,1,0
31572,1,0,0,0,0,1,1,1,0,0,0
31573,0,0,0,0,0,1,1,1,0,0,0
31591,1,0,0,0,0,1,1,1,0,0,0
31592,1,0,0,0,0,1,1,0,0,0,0
31594,1,0,0,0,0,1,1,1,0,0,0
31595,1,0,0,0,0,1,1,1,0,0,0
31596,0,0,0,0,0,1,1,0,0,0,0
31606,1,0,0,0,0,1,1,0,0,0,0
31629,1,0,0,0,0,1,0,0,0,1,0
31630,1,0,0,0,0,1,0,0,0,1,0
